Doctor Name,City,Specialization,Doctor Qualification,Experience(Years),Total_Reviews,Patient Satisfaction Rate(%age),Avg Time to Patients(mins),Wait Time(mins),Hospital Address,Doctors Link,Fee(PKR)
Dr. Faisal Baloch,QUETTA,"General Physician, Dermatologist, Aesthetic Physician","MD-Europe, MRCGP-UK, DPD-UK, DIPL-ASTH-UK",0.17307692307692307,0.0,0.9104477611940299,0.23404255319148937,0.12222222222222223,"International Medical Center, Quetta City, Quetta",No Link Available,0.15
Asst. Prof. Dr. Seemab Khan,QUETTA,Dermatologist,"MBBS, FCPS",0.2884615384615385,0.0,0.9104477611940299,0.23404255319148937,0.12222222222222223,"Fc Hospital, Cantt, Quetta",No Link Available,0.07
Prof. Dr. Muhammad Saleem Barech,QUETTA,Neurologist,"MBBS, FCPS, DCN",0.5,0.3798329123761415,0.9701492537313433,0.23404255319148937,0.2777777777777778,"Akram Hospital, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/neuro-physician/prof-dr-muhammad-saleem-barech#reviews-scroll,0.5
Dr. Anjum Farooq,QUETTA,Neurologist,"MBBS, FCPS,(Neurology) Fellowship In Stroke,(Akuh)",0.17307692307692307,0.05634350106858364,0.9999999999999999,0.25531914893617025,0.12222222222222223,"Mid Town Hospital, purana pashin adda, Quetta",https://www.marham.pk/doctors/quetta/neuro-physician/dr-anjum-farooq#reviews-scroll,0.2
Assoc. Prof. Dr. Zainullah Khan Kakar,QUETTA,"Neuro Psychiatrist, Psychiatrist, Neurologist","MBBS , FCPS (psychiatry) , MCPS(Neurology) , IFAPA (USA) , Member Royal College of Psychiatrist (London)",0.3076923076923077,0.05498348552554887,0.9701492537313433,0.23404255319148937,0.12222222222222223,"Sajid Hospital, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/neuro-psychiatrist/assoc-prof-dr-zainullah-khan-kakar#reviews-scroll,0.2
Asst. Prof. Dr. Muhammad Ilyas,QUETTA,"Neuro Psychiatrist, Psychiatrist, Neurologist","MBBS, FCPS(Psychiatry), DCN(Neurology) Neuropsychiatrist",0.21153846153846156,0.10744122789974743,0.9701492537313433,0.23404255319148937,0.12222222222222223,"Aria Institute Of Medical And Health Sciences, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/neuro-psychiatrist/asst-prof-dr-muhammad-ilyas#reviews-scroll,0.3
Dr. Ahmed Wali,QUETTA,Neurologist,"FCPS (Neurology), Fellowship Neurophysiology (AKU), Diplomat American Board of Clinical Neurophysiology (DABCN),",0.17307692307692307,0.13405867495628523,0.9402985074626865,0.2765957446808511,0.16666666666666669,"Aria Institute Of Medical And Health Sciences, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/neuro-physician/dr-ahmed-wali#reviews-scroll,0.25
Dr. Ihsan Ul Haq Zarkoon,QUETTA,Neurologist,"MBBS, FCPS (Neurology)",0.057692307692307696,0.02312026423159122,0.9850746268656717,0.25531914893617025,0.1,"City International Hospital, Zarghon Road, Quetta",https://www.marham.pk/doctors/quetta/neuro-physician/dr-ihsan-ul-haq-zarkoon#reviews-scroll,0.08
Prof. Dr. Noor Ahmed Khosa,QUETTA,Neurologist,"MBBS, FCPS",0.3653846153846154,0.03438896444530795,0.9552238805970149,0.25531914893617025,0.18888888888888888,"Saleem Medical Complex Hospital, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/neuro-physician/prof-dr-noor-ahmed-khosa#reviews-scroll,0.15
Dr. Naveed Javed,QUETTA,"Psychiatrist, Neurologist","MBBS (UK), MD(USA), MRCP, PhD (UK), Diplomate American Board of Psychiatry and Neurology (USA)",0.21153846153846156,0.009520108801243444,0.9701492537313433,0.23404255319148937,0.12222222222222223,"National Diagnostic Center., Suraj Miani Road, Multan",https://www.marham.pk/doctors/multan/psychiatrist/dr-naveed-javed#reviews-scroll,0.3
Dr. Jahanzeb Kakar,QUETTA,"Neuro Surgeon, Neurologist","MBBS, FRCS(Ireland) FCPS(Neurosurgery)",0.09615384615384616,0.01029726054012046,0.9999999999999999,0.23404255319148937,0.12222222222222223,"Akram Hospital, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/neuro-surgeon/dr-jahanzeb-kakar#reviews-scroll,0.2
Asst. Prof. Dr. Alamzeb Khan,QUETTA,"Neuro Surgeon, Neurologist","M.B.B.S, F.C.P.S, (Neuro Surgery) I.T.F(United Kingdom)",0.15384615384615385,0.006800077715173888,0.9552238805970149,0.21276595744680854,0.13333333333333333,"City International Hospital, Zarghon Road, Quetta",https://www.marham.pk/doctors/quetta/neuro-surgeon/asst-prof-dr-alamzeb-khan#reviews-scroll,0.1
Dr. Ainullah,QUETTA,Neurologist,"MBBS, MCPS (Medicine), FCPS (Neurology)",0.07692307692307693,0.003108606955508063,0.9999999999999999,0.23404255319148937,0.12222222222222223,"Rahman Medical Center, Jinnah Road Quetta, Quetta",https://www.marham.pk/doctors/quetta/neuro-physician/dr-ainullah#reviews-scroll,0.1
Dr. Nasrullah Langove,QUETTA,"Neuro Surgeon, Neurologist","MBBS, FCPS ( Neuro Surgeon )",0.21153846153846156,0.027783174664853316,0.9850746268656717,0.23404255319148937,0.12222222222222223,"Gillani Hopsital, Satellite Town, Quetta",https://www.marham.pk/doctors/quetta/neuro-surgeon/dr-nasrullah-langove#reviews-scroll,0.1
Prof. Dr. Aisha Siddiqa,QUETTA,Gynecologist,"MBBS, FCPS, Masters In Surgery (Glasgow UK)",0.5961538461538461,0.1663104721196814,0.9253731343283581,0.25531914893617025,0.2777777777777778,"Saleem Medical Complex Hospital, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/gynecologist/prof-dr-aisha-siddiqa#reviews-scroll,0.15
Prof. Dr. Uzma Sohail,QUETTA,"Gynecologist, Gynecologist","MBBS, MCPS, FCPS (Obstetrics &amp; Gynecology)",0.5,0.086458130950068,0.9552238805970149,0.23404255319148937,0.2,"Akram Hospital, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/gynecologist/prof-dr-uzma-sohail#reviews-scroll,0.2
Prof. Dr. Rohana Salam,QUETTA,Gynecologist,"MBBS, FCPS (Obstetrics &amp; Gynecology)",0.4038461538461539,0.09500680007771518,0.9552238805970149,0.23404255319148937,0.22222222222222224,"City International Hospital, Zarghon Road, Quetta",https://www.marham.pk/doctors/quetta/gynecologist/prof-dr-rohana-salam#reviews-scroll,0.3
Prof. Dr. Najma Ghaffar,QUETTA,"Gynecologist, Radiologist","MBBS, MCPS( Obstetrics &amp; Gynecology), FCPS ( Obstetrics &amp; Gynecology)",0.3653846153846154,0.12453856615504177,0.9402985074626865,0.25531914893617025,0.17777777777777778,"Dng Hospital, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/gynecologist/prof-dr-najma-ghaffar#reviews-scroll,0.15
Dr. Zaib Un Nisa Jogazai,QUETTA,Gynecologist,"MBBS, FCPS (Obstetrics &amp; Gynecology)",0.07692307692307693,0.0019428793471925395,0.8805970149253731,0.19148936170212766,0.07777777777777778,"Al Shafa Hospital, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/gynecologist/dr-zaib-un-nisa-jogazai#reviews-scroll,0.1
Dr. Rukhsana,QUETTA,Gynecologist,"MBBS, FCPS ( Obstetrics &amp; Gynaecology)",0.1153846153846154,0.005051486302700602,0.9999999999999999,0.23404255319148937,0.11111111111111112,"City International Hospital, Zarghon Road, Quetta",https://www.marham.pk/doctors/quetta/gynecologist/dr-rukhsana#reviews-scroll,0.1
Dr. Nabila Naz,QUETTA,Gynecologist,"MBBS, MCPS, MPH(AUSTRALIA), S.T.A.R.T (Infertility) (AUSTRALIA) Infertility Expert",0.17307692307692307,0.03186322129395765,0.9552238805970149,0.2765957446808511,0.11111111111111112,"Rahat Medical Complex, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/gynecologist/dr-nabila-naz#reviews-scroll,0.060000000000000005
Dr. Rizwana Naz,QUETTA,Gynecologist,"MBBS, FCPS (Gynecology &amp; Obstetrics)",0.17307692307692307,0.0021371672819117935,0.9999999999999999,0.19148936170212766,0.08888888888888889,"Heart And General Hospital, Model Town, Quetta",https://www.marham.pk/doctors/quetta/gynecologist/dr-rizwana-naz#reviews-scroll,0.15
Dr. Kalsoom Noor,QUETTA,Gynecologist,"MBBS, FCPS (Gyne &amp; Obs)",0.038461538461538464,0.0003885758694385079,0.9999999999999999,0.12765957446808512,0.12222222222222223,"Yaseen Hospital, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/gynecologist/dr-kalsoom-noor#reviews-scroll,0.1
Dr. Bareera Sadaf,QUETTA,Gynecologist,"MBBS, FCPS, (Gynecology)",0.09615384615384616,0.00932582086652419,0.9402985074626865,0.25531914893617025,0.14444444444444446,"Doctors Hospital, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/gynecologist/dr-bareera-sadaf#reviews-scroll,0.1
Dr. Salma Khudaidad,QUETTA,Gynecologist," MBBS , FCPS (Obstetrics &amp; Gynaecology)",0.13461538461538464,0.0019428793471925395,0.9999999999999999,0.23404255319148937,0.08888888888888889,"Saleem Medical Complex Hospital, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/gynecologist/dr-salma-khudaidad#reviews-scroll,0.1
Dr. Zargai Kakar,QUETTA,Gynecologist,"MBBS, FCPS (Obstetrics &amp; Gynecology)",0.17307692307692307,0.0029143190207888093,0.9999999999999999,0.19148936170212766,0.08888888888888889,"Gillani Hopsital, Satellite Town, Quetta",https://www.marham.pk/doctors/quetta/gynecologist/dr-zargai-kakar#reviews-scroll,0.1
Dr. Naimat Ullah Tareen,QUETTA,"Urologist, Sexologist","MBBS, FCPS (Urology)",0.17307692307692307,0.12570429376335732,0.9850746268656717,0.23404255319148937,0.13333333333333333,"City International Hospital, Zarghon Road, Quetta",https://www.marham.pk/doctors/quetta/urologist/dr-naimat-ullah-tareen#reviews-scroll,0.1
Dr. Asad Tareen,QUETTA,Urologist,"MBBS, FCPS ( Urology )",0.07692307692307693,0.003691470759665825,0.9999999999999999,0.25531914893617025,0.14444444444444446,"Sultan Tareen Health Care &amp; Transplant Institute, Zarghun Road, Quetta",https://www.marham.pk/doctors/quetta/urologist/dr-asad-tareen#reviews-scroll,0.1
Asst. Prof. Dr. Hayat Kakar,QUETTA,Urologist," MBBS , , FCPS (Urology) , , Member Of Middle East Society Of Transplant ",0.17307692307692307,0.005440062172139111,0.9552238805970149,0.19148936170212766,0.08888888888888889,"Rahat Medical Complex, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/urologist/asst-prof-dr-hayat-kakar#reviews-scroll,0.1
Asst. Prof. Dr. Shoukat Ali,QUETTA,Urologist," MBBS , FCPS (Urology) ",0.09615384615384616,0.01962308140664465,0.9999999999999999,0.23404255319148937,0.08888888888888889,"Yaseen Hospital, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/urologist/asst-prof-dr-shoukat-ali#reviews-scroll,0.1
Dr. Ahmed Ullah,QUETTA,Urologist,"MBBS, FCPS (Urology)",0.07692307692307693,0.028754614338449586,0.9552238805970149,0.23404255319148937,0.12222222222222223,"National Hospital, Near Quetta Laboratory Prince Road, Quetta",https://www.marham.pk/doctors/quetta/urologist/dr-ahmed-ullah#reviews-scroll,0.15
Dr. Rashid Ali Baloch,QUETTA,"Endourologist, Urologist","MBBS, FCPS (Urology)",0.13461538461538464,0.0021371672819117935,0.9999999999999999,0.2978723404255319,0.05555555555555556,"Al-Khair Medical Complex Hospital, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/endourologist/dr-rashid-ali-baloch#reviews-scroll,0.1
Dr. Hafeez Ullah,QUETTA,Urologist,"MBBS, FCPS (Urology)",0.019230769230769232,0.0003885758694385079,0.9999999999999999,0.14893617021276595,0.6666666666666667,"Jilani Hospital, Satellite Town, Quetta",https://www.marham.pk/doctors/quetta/urologist/dr-hafeez-ullah#reviews-scroll,0.1
Dr. Muhammad Anwar Jan,QUETTA,Urologist,"MBBS, MCPS, FCPS (Urology)",0.07692307692307693,0.0,0.9104477611940299,0.23404255319148937,0.12222222222222223,"Al Qadir Hospital, Quetta City, Quetta",No Link Available,0.1
Assoc. Prof. Dr. Masha Khan,QUETTA,Urologist,"MBBS, FCPS",0.17307692307692307,0.0,0.9104477611940299,0.23404255319148937,0.12222222222222223,"Akram Hospital, Quetta City, Quetta",No Link Available,0.060000000000000005
Asst. Prof. Dr. Muhammad Musa Kakar,QUETTA,Urologist,"MBBS, MS(urology)",0.17307692307692307,0.0,0.9104477611940299,0.23404255319148937,0.12222222222222223,"Rahat Medical Complex, Quetta City, Quetta",No Link Available,0.07
Dr. Hidayatullah Mandokhail,QUETTA,Urologist,MBBS FCPS MCPS,0.17307692307692307,0.0,0.9104477611940299,0.23404255319148937,0.12222222222222223,"Jilani Hospital, Satellite Town, Quetta",No Link Available,0.07
Dr. Jamil Kakar,QUETTA,Urologist,"MBBS, FCPS",0.1153846153846154,0.00019428793471925395,0.9999999999999999,0.23404255319148937,0.12222222222222223,"Heart And General Hospital, Model Town, Quetta",https://www.marham.pk/doctors/quetta/urologist/dr-jamil-kakar#reviews-scroll,0.05
Asst. Prof. Dr. M Hussain Baloch,QUETTA,Gastroenterologist,"MBBS, MCPS (Medicine), FCPS(Gastroenterology), MRCP (Gastroenterology)",0.21153846153846156,0.21352244025646008,0.9850746268656717,0.17021276595744683,0.08888888888888889,"Gillani Hopsital, Satellite Town, Quetta",https://www.marham.pk/doctors/quetta/gastroenterologist/asst-prof-dr-m-hussain-baloch#reviews-scroll,0.08
Dr. Muhammad Farooq Zarkoon,QUETTA,Gastroenterologist,"MBBS, FCPS, Fellowship (ERCP)",0.2692307692307693,0.3188265008742957,0.9850746268656717,0.25531914893617025,0.18888888888888888,"City International Hospital, Zarghon Road, Quetta",https://www.marham.pk/doctors/quetta/gastroenterologist/dr-muhammad-farooq-zarkoon#reviews-scroll,0.2
Dr. Essa Khan Achakzai,QUETTA,Gastroenterologist,"MBBS, MD Gold Medalist, FCPS Gastroenterology",0.07692307692307693,0.0023314552166310474,0.9999999999999999,0.17021276595744683,0.1,"City International Hospital, Zarghon Road, Quetta",https://www.marham.pk/doctors/quetta/gastroenterologist/dr-essa-khan-achakzai#reviews-scroll,0.1
Dr. Niaz Muhammad,QUETTA,Gastroenterologist,"MBBS, MCPS (Medicine), FCPS (Gastroenterology)",0.25000000000000006,0.02467456770934525,0.9701492537313433,0.19148936170212766,0.13333333333333333,"Saleem Medical Complex Hospital, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/gastroenterologist/dr-niaz-muhammad#reviews-scroll,0.1
Dr. Khalid Tareen,QUETTA,Gastroenterologist," MBBS , FCPS (Gastroenterology) ",0.1153846153846154,0.03244608509811541,0.9999999999999999,0.25531914893617025,0.1,"Mid East Hospital, Zarghon Road, Quetta",https://www.marham.pk/doctors/quetta/gastroenterologist/dr-khalid-tareen#reviews-scroll,0.1
Dr. Muhammad Naseer,QUETTA,Gastroenterologist,"MBBS, FCPS (Gastroenterology)",0.25000000000000006,0.0295317660773266,0.9850746268656717,0.21276595744680854,0.11111111111111112,"Akram Hospital, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/gastroenterologist/dr-muhammad-naseer#reviews-scroll,0.1
Assoc. Prof. Dr. Muhammad Usman Tareen,QUETTA,Gastroenterologist,"MBBS, MCPS(Medicine) FCPS(Gastroenterology)",0.2884615384615385,0.04196619389935885,0.9402985074626865,0.25531914893617025,0.13333333333333333,"Doctors Hospital, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/gastroenterologist/assoc-prof-dr-muhammad-usman-tareen#reviews-scroll,0.3
Dr. Masood Tareen,QUETTA,Gastroenterologist,"MBBS, MCPS(Med), MRCP SCE(UK), FCPS (Gastroenterology), ESEGH (European Specialty Exam in Gastroenterology &amp; Hepatology)",0.1153846153846154,0.04332620944239363,0.9999999999999999,0.17021276595744683,0.1,"Yaseen Hospital, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/gastroenterologist/dr-masood-tareen#reviews-scroll,0.09000000000000001
Dr. Ameer Bakhsh Langove,QUETTA,Gastroenterologist,"MBBS, FCPS (Gastroenterology), Post Fellowship In ERCP",0.13461538461538464,0.003302894890227317,0.9999999999999999,0.23404255319148937,0.1,"City International Hospital, Zarghon Road, Quetta",https://www.marham.pk/doctors/quetta/gastroenterologist/dr-ameer-bakhsh-langove#reviews-scroll,0.1
Dr. Abdul Latif,QUETTA,Gastroenterologist,"MBBS, FCPS (Gastroenterology)",0.13461538461538464,0.012045851952593745,0.9999999999999999,0.2765957446808511,0.07777777777777778,"Doctors Hospital, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/gastroenterologist/dr-abdul-latif#reviews-scroll,0.1
Dr. Inayatullah Khan Kakar,QUETTA,"Gastroenterologist, Hepatologist","MBBS, FCPS (Gastroenterology)",0.07692307692307693,0.003885758694385079,0.9999999999999999,0.14893617021276595,0.1,"Yaseen Hospital, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/gastroenterologist/dr-inayatullah-khan-kakar#reviews-scroll,0.15
Dr. Inam Ullah Khan,QUETTA,"Gastroenterologist, Hepatologist"," MBBS , FCPS(Gastroenterology) ",0.019230769230769232,0.003691470759665825,0.9253731343283581,0.2765957446808511,0.1,"Rahat Medical Complex, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/gastroenterologist/dr-inam-ullah-khan#reviews-scroll,0.08
Asst. Prof. Dr. Nasir Azim Kakar,QUETTA,"Pulmonologist / Lung Specialist, Internal Medicine Specialist"," MBBS , FCPS (Pulmonology) ",0.17307692307692307,0.08160093258208666,0.9850746268656717,0.25531914893617025,0.16666666666666669,"Doctors Hospital, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/pulmonologist/asst-prof-dr-nasir-azim-kakar#reviews-scroll,0.15
Asst. Prof. Dr. Tahir Khan,QUETTA,"Pulmonologist / Lung Specialist, General Physician, Allergy Specialist","MBBS, FCPS",0.17307692307692307,0.03594326792306198,0.9701492537313433,0.25531914893617025,0.11111111111111112,"Yaseen Hospital, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/pulmonologist/asst-prof-dr-tahir-khan#reviews-scroll,0.1
Dr. Ishfaq Ahmed,QUETTA,Pulmonologist / Lung Specialist,"MBBS, FCPS (Pulmonology)",0.17307692307692307,0.00835438119292792,0.9402985074626865,0.23404255319148937,0.13333333333333333,"City International Hospital, Zarghon Road, Quetta",https://www.marham.pk/doctors/quetta/pulmonologist/dr-ishfaq-ahmed#reviews-scroll,0.1
Dr. Sohail Mushtaq,QUETTA,Pulmonologist / Lung Specialist,"MBBS, DTCD ( T.B. &amp; Chest Diseases )",0.42307692307692313,0.023314552166310475,0.9701492537313433,0.2765957446808511,0.08888888888888889,"Shoaib Medical Store, Baldia Town, Quetta",https://www.marham.pk/doctors/quetta/pulmonologist/dr-sohail-mushtaq#reviews-scroll,0.1
Asst. Prof. Dr. Abdul Baqi Achakzai,QUETTA,Pulmonologist / Lung Specialist,"MBBS ,MCPS (Medicine) , FCPS (Pulmonology)",0.09615384615384616,0.01865164173304838,0.9999999999999999,0.23404255319148937,0.06666666666666667,"Jilani Hospital, Satellite Town, Quetta",https://www.marham.pk/doctors/quetta/pulmonologist/asst-prof-dr-abdul-baqi-achakzai#reviews-scroll,0.1
Asst. Prof. Dr. Syed Aman Ullah Shah,QUETTA,Pulmonologist / Lung Specialist," MBBS , FCPS ( Pulmonology )",0.07692307692307693,0.0021371672819117935,0.9999999999999999,0.19148936170212766,0.08888888888888889,"Sultan Tareen Health Care &amp; Transplant Institute, Zarghun Road, Quetta",https://www.marham.pk/doctors/quetta/pulmonologist/asst-prof-dr-syed-aman-ullah-shah#reviews-scroll,0.1
Dr. Ali Ahmed Reki,QUETTA,Pulmonologist / Lung Specialist,"MBBS, DTCD(KHI)",0.2692307692307693,0.0021371672819117935,0.9999999999999999,0.25531914893617025,0.05555555555555556,"Saleem Medical Complex Hospital, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/pulmonologist/dr-ali-ahmed-reki#reviews-scroll,0.1
Dr. Muhammad Yaseen,QUETTA,Pulmonologist / Lung Specialist,"MBBS, FCPS (Pulmonology)",0.13461538461538464,0.0023314552166310474,0.9999999999999999,0.19148936170212766,0.1,"Gillani Hopsital, Satellite Town, Quetta",https://www.marham.pk/doctors/quetta/pulmonologist/dr-muhammad-yaseen#reviews-scroll,0.12000000000000001
Dr. Iftikhar Ali Kakar,QUETTA,Pulmonologist / Lung Specialist,"MBBS , MCPS , DTCD , MHPE/MS (Masters In Health Professional &amp; Research )",0.13461538461538464,0.02117738488439868,0.9999999999999999,0.25531914893617025,0.18888888888888888,"Fc Hospital, Cantt, Quetta",https://www.marham.pk/doctors/quetta/pulmonologist/dr-iftikhar-ali-kakar#reviews-scroll,0.1
Dr. Abdul Haseeb Kakar,QUETTA,Pulmonologist / Lung Specialist,"MBBS, FCPS",0.1153846153846154,0.003108606955508063,0.9999999999999999,0.2978723404255319,0.16666666666666669,"Al Qadir Hospital, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/pulmonologist/dr-abdul-haseeb-kakar#reviews-scroll,0.1
Dr. Maqsood Ahmed,QUETTA,Pulmonologist / Lung Specialist," MBBS , MCPS ",0.07692307692307693,0.00019428793471925395,0.9999999999999999,0.14893617021276595,0.22222222222222224,"Al Shafi Hospital, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/pulmonologist/dr-maqsood-ahmed#reviews-scroll,0.08
Dr. Raheemuddin,QUETTA,"Pulmonologist / Lung Specialist, Allergy Specialist"," MBBS , DTCD (TB.Chest Disease) , MCPS (Pulmonology) ",0.23076923076923078,0.006994365649893142,0.9552238805970149,0.19148936170212766,0.06666666666666667,"Sangeen Khan Hospital, Killi Shaboo, Quetta",https://www.marham.pk/doctors/quetta/pulmonologist/dr-raheemuddin#reviews-scroll,0.1
Dr. Attiq Ur Rehman,QUETTA,"Orthopedic Surgeon, Spinal Surgeon","M.B B.S, F.C.P.S (AKUH) , Fellowship In Joint Replacement , Fellowship In Spinal surgery (Singapore)",0.2692307692307693,0.345832523800272,0.9701492537313433,0.23404255319148937,0.2,"City International Hospital, Zarghon Road, Quetta",https://www.marham.pk/doctors/quetta/orthopedic-surgeon/dr-attiq-ur-rehman#reviews-scroll,0.12000000000000001
Assoc. Prof. Dr. Lal Muhammad Khan Kakar,QUETTA,"Orthopedic Surgeon, Spinal Surgeon","MBBS, FCPS (Orthopedic Surgery) , FICS (USA)",0.3653846153846154,0.05129201476588304,0.9402985074626865,0.25531914893617025,0.1,"National Hospital, Near Quetta Laboratory Prince Road, Quetta",https://www.marham.pk/doctors/quetta/orthopedic-surgeon/assoc-prof-dr-lal-muhammad-khan-kakar#reviews-scroll,0.3
Asst. Prof. Dr. Ahmed Abdul Habib,QUETTA,Orthopedic Surgeon,"MBBS, FCPS (Aga Khan University) (Orthopedic Surgeon), Fellowship in Hand and Micro vascular Surgery (Germany)",0.13461538461538464,0.0147658830386633,0.9999999999999999,0.21276595744680854,0.17777777777777778,"Aria Institute Of Medical And Health Sciences, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/orthopedic-surgeon/asst-prof-dr-ahmed-abdul-habib#reviews-scroll,0.12000000000000001
Dr. Ahmer Ali,QUETTA,Orthopedic Surgeon,"MBBS, FCPS (Orthopedic Surgery)",0.07692307692307693,0.0015543034777540316,0.9999999999999999,0.23404255319148937,0.23333333333333334,"Al Shafi Hospital, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/orthopedic-surgeon/dr-ahmer-ali#reviews-scroll,0.1
Dr. Muhammad Saleem Qureshi,QUETTA,Orthopedic Surgeon,"MBBS, FCPS (Orthopedic Surgery)",0.13461538461538464,0.003497182824946571,0.9999999999999999,0.19148936170212766,0.07777777777777778,"Rehan Hospital, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/orthopedic-surgeon/dr-muhammad-saleem-qureshi#reviews-scroll,0.1
